age_group_id,cause_id,location_id,measure_id,metric_id,sex_id,year_id,acause,age_group_name,cause_name,expected,location_name,location_type,measure,measure_name,metric_name,sex,val,upper,lower,age_group_alternative_name,age_midpoint,age_group_years_end,age_group_name_plot
8,432,44575,1,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,World Bank High Income,region,death,Deaths,Rate,Female,2.63291017829921e-07,2.97446389619142e-07,2.29899056211113e-07,15-19 years,17.5,20,15-19
8,432,44575,6,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,World Bank High Income,region,incidence,Incidence,Rate,Female,1.69004224995479e-06,2.06785909429167e-06,1.35192978634949e-06,15-19 years,17.5,20,15-19
8,432,44578,1,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,World Bank Low Income,region,death,Deaths,Rate,Female,1.94712301702132e-05,2.82524952590574e-05,1.22670142040853e-05,15-19 years,17.5,20,15-19
8,432,44578,6,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,World Bank Low Income,region,incidence,Incidence,Rate,Female,4.47411947590888e-05,6.72463433272416e-05,2.6822198565589e-05,15-19 years,17.5,20,15-19
8,432,44577,1,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,World Bank Lower Middle Income,region,death,Deaths,Rate,Female,6.41246069032569e-06,9.40067501839928e-06,4.24162333419208e-06,15-19 years,17.5,20,15-19
8,432,44577,6,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,World Bank Lower Middle Income,region,incidence,Incidence,Rate,Female,1.65673691439275e-05,2.4920960522261e-05,1.02326044688754e-05,15-19 years,17.5,20,15-19
8,432,44576,1,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,World Bank Upper Middle Income,region,death,Deaths,Rate,Female,1.35570500419251e-06,1.86988340949039e-06,1.06189057852917e-06,15-19 years,17.5,20,15-19
8,432,44576,6,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,World Bank Upper Middle Income,region,incidence,Incidence,Rate,Female,4.60415207757136e-06,6.50215675351851e-06,3.54890616493035e-06,15-19 years,17.5,20,15-19
8,432,1,1,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,Global,global,death,Deaths,Rate,Female,5.7717285527133e-06,8.21309325318915e-06,3.81378033197796e-06,15-19 years,17.5,20,15-19
8,432,1,6,3,2,2023,neo_cervical,15 to 19,Cervical cancer,FALSE,Global,global,incidence,Incidence,Rate,Female,1.46833276879458e-05,2.22843371593907e-05,9.31733578306969e-06,15-19 years,17.5,20,15-19
9,432,44575,1,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,World Bank High Income,region,death,Deaths,Rate,Female,1.14811445340063e-06,1.30851545598235e-06,1.01382879104595e-06,20-24 years,22.5,25,20-24
9,432,44575,6,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,World Bank High Income,region,incidence,Incidence,Rate,Female,1.49332314101245e-05,1.86398689772342e-05,1.16724151173156e-05,20-24 years,22.5,25,20-24
9,432,44578,1,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,World Bank Low Income,region,death,Deaths,Rate,Female,3.45708348973797e-05,5.33877026735549e-05,2.09548032449453e-05,20-24 years,22.5,25,20-24
9,432,44578,6,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,World Bank Low Income,region,incidence,Incidence,Rate,Female,0.000128784438280912,0.000196096813731441,7.32865969461613e-05,20-24 years,22.5,25,20-24
9,432,44577,1,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,World Bank Lower Middle Income,region,death,Deaths,Rate,Female,1.301846079326e-05,1.99592017708165e-05,8.04777069187295e-06,20-24 years,22.5,25,20-24
9,432,44577,6,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,World Bank Lower Middle Income,region,incidence,Incidence,Rate,Female,5.65231800673923e-05,8.56810905324438e-05,3.23287139667813e-05,20-24 years,22.5,25,20-24
9,432,44576,1,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,World Bank Upper Middle Income,region,death,Deaths,Rate,Female,3.4945993973831e-06,4.61091245970411e-06,2.77030934603278e-06,20-24 years,22.5,25,20-24
9,432,44576,6,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,World Bank Upper Middle Income,region,incidence,Incidence,Rate,Female,2.05205786400078e-05,2.71665412166344e-05,1.55510628202392e-05,20-24 years,22.5,25,20-24
9,432,1,1,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,Global,global,death,Deaths,Rate,Female,1.10406587456029e-05,1.64718073874179e-05,7.24514386382387e-06,20-24 years,22.5,25,20-24
9,432,1,6,3,2,2023,neo_cervical,20 to 24,Cervical cancer,FALSE,Global,global,incidence,Incidence,Rate,Female,4.84693442240637e-05,7.03274189892416e-05,3.03814684018261e-05,20-24 years,22.5,25,20-24
10,432,44575,1,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,World Bank High Income,region,death,Deaths,Rate,Female,5.45557821268727e-06,6.00483356176059e-06,4.99772172431637e-06,25-29 years,27.5,30,25-29
10,432,44575,6,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,World Bank High Income,region,incidence,Incidence,Rate,Female,8.2799831233673e-05,0.000101459337654877,6.64446406361037e-05,25-29 years,27.5,30,25-29
10,432,44578,1,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,World Bank Low Income,region,death,Deaths,Rate,Female,9.46485464329741e-05,0.000142972527006443,5.66529859829821e-05,25-29 years,27.5,30,25-29
10,432,44578,6,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,World Bank Low Income,region,incidence,Incidence,Rate,Female,0.000427658652021273,0.000697453935209197,0.000250623675933278,25-29 years,27.5,30,25-29
10,432,44577,1,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,World Bank Lower Middle Income,region,death,Deaths,Rate,Female,2.69578453892559e-05,3.99953901297515e-05,1.73695438770602e-05,25-29 years,27.5,30,25-29
10,432,44577,6,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,World Bank Lower Middle Income,region,incidence,Incidence,Rate,Female,0.000141365782882802,0.000220558143289916,8.21920069404726e-05,25-29 years,27.5,30,25-29
10,432,44576,1,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,World Bank Upper Middle Income,region,death,Deaths,Rate,Female,1.21339122474283e-05,1.53787159197856e-05,1.01440845023457e-05,25-29 years,27.5,30,25-29
10,432,44576,6,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,World Bank Upper Middle Income,region,incidence,Incidence,Rate,Female,8.68975540283201e-05,0.000115596298055624,6.75622987622729e-05,25-29 years,27.5,30,25-29
10,432,1,1,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,Global,global,death,Deaths,Rate,Female,2.55582241912688e-05,3.65524456958967e-05,1.74204019703301e-05,25-29 years,27.5,30,25-29
10,432,1,6,3,2,2023,neo_cervical,25 to 29,Cervical cancer,FALSE,Global,global,incidence,Incidence,Rate,Female,0.00014267943445369,0.000208315941069951,9.60031599395813e-05,25-29 years,27.5,30,25-29
11,432,44575,1,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,World Bank High Income,region,death,Deaths,Rate,Female,1.72461095728148e-05,1.84780108262836e-05,1.62584230559374e-05,30-34 years,32.5,35,30-34
11,432,44575,6,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,World Bank High Income,region,incidence,Incidence,Rate,Female,0.000214106943974569,0.000259110026173044,0.000175015966868916,30-34 years,32.5,35,30-34
11,432,44578,1,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,World Bank Low Income,region,death,Deaths,Rate,Female,0.000261348663186206,0.000392873598854785,0.000175792000743244,30-34 years,32.5,35,30-34
11,432,44578,6,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,World Bank Low Income,region,incidence,Incidence,Rate,Female,0.00107509495724174,0.00169004803519274,0.000701527311035661,30-34 years,32.5,35,30-34
11,432,44577,1,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,World Bank Lower Middle Income,region,death,Deaths,Rate,Female,6.48944494578113e-05,9.72949606358016e-05,4.2306301279718e-05,30-34 years,32.5,35,30-34
11,432,44577,6,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,World Bank Lower Middle Income,region,incidence,Incidence,Rate,Female,0.000309537942707032,0.000472651322874418,0.000197665723110399,30-34 years,32.5,35,30-34
11,432,44576,1,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,World Bank Upper Middle Income,region,death,Deaths,Rate,Female,2.87120634326311e-05,3.69341463310104e-05,2.39757341625818e-05,30-34 years,32.5,35,30-34
11,432,44576,6,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,World Bank Upper Middle Income,region,incidence,Incidence,Rate,Female,0.000187295338360204,0.000245277845268408,0.000144979586361724,30-34 years,32.5,35,30-34
11,432,1,1,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,Global,global,death,Deaths,Rate,Female,5.94919651568414e-05,8.38755370662525e-05,4.35236440456617e-05,30-34 years,32.5,35,30-34
11,432,1,6,3,2,2023,neo_cervical,30 to 34,Cervical cancer,FALSE,Global,global,incidence,Incidence,Rate,Female,0.000309432564394221,0.000437165093645184,0.00022546214057356,30-34 years,32.5,35,30-34
12,432,44575,1,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,World Bank High Income,region,death,Deaths,Rate,Female,3.20294429946273e-05,3.37492785700279e-05,3.03918010919834e-05,35-39 years,37.5,40,35-39
12,432,44575,6,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,World Bank High Income,region,incidence,Incidence,Rate,Female,0.000279252262560229,0.000331423881308668,0.000231823637014054,35-39 years,37.5,40,35-39
12,432,44578,1,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,World Bank Low Income,region,death,Deaths,Rate,Female,0.000420328367150257,0.000614553681636366,0.000281055494900169,35-39 years,37.5,40,35-39
12,432,44578,6,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,World Bank Low Income,region,incidence,Incidence,Rate,Female,0.0013451139446859,0.00206356732242736,0.000895752236526119,35-39 years,37.5,40,35-39
12,432,44577,1,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,World Bank Lower Middle Income,region,death,Deaths,Rate,Female,0.000110174687884075,0.000160104963707091,7.25755071218892e-05,35-39 years,37.5,40,35-39
12,432,44577,6,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,World Bank Lower Middle Income,region,incidence,Incidence,Rate,Female,0.000409279915734803,0.000637396922926386,0.000255808089391998,35-39 years,37.5,40,35-39
12,432,44576,1,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,World Bank Upper Middle Income,region,death,Deaths,Rate,Female,4.92541617839022e-05,6.24469811272118e-05,4.08418779088366e-05,35-39 years,37.5,40,35-39
12,432,44576,6,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,World Bank Upper Middle Income,region,incidence,Incidence,Rate,Female,0.000253082288419126,0.000340591683003325,0.000192644325563958,35-39 years,37.5,40,35-39
12,432,1,1,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,Global,global,death,Deaths,Rate,Female,9.38640411063821e-05,0.000130180396080454,7.03766020951798e-05,35-39 years,37.5,40,35-39
12,432,1,6,3,2,2023,neo_cervical,35 to 39,Cervical cancer,FALSE,Global,global,incidence,Incidence,Rate,Female,0.00038865470554032,0.00054562238556825,0.000290685851947004,35-39 years,37.5,40,35-39
13,432,44575,1,3,2,2023,neo_cervical,40 to 44,Cervical cancer,FALSE,World Bank High Income,region,death,Deaths,Rate,Female,4.54064867209419e-05,4.7866390566744e-05,4.31606326816775e-05,40-44 years,42.5,45,40-44
13,432,44575,6,3,2,2023,neo_cervical,40 to 44,Cervical cancer,FALSE,World Bank High Income,region,incidence,Incidence,Rate,Female,0.000287042021731032,0.000330698540670766,0.000242826369556847,40-44 years,42.5,45,40-44
13,432,44578,1,3,2,2023,neo_cervical,40 to 44,Cervical cancer,FALSE,World Bank Low Income,region,death,Deaths,Rate,Female,0.000596955413953078,0.000859969698707592,0.000402603423507641,40-44 years,42.5,45,40-44
13,432,44578,6,3,2,2023,neo_cervical,40 to 44,Cervical cancer,FALSE,World Bank Low Income,region,incidence,Incidence,Rate,Female,0.00149381219323146,0.0021793954292237,0.000991456465868252,40-44 years,42.5,45,40-44
