location_id,Incident cases in 2023 (thousands),"% change, cases, 1990 to 2023",Age-standardised incidence rate in 2023,"% change, age-standardised incidence rate, 1990 to 2023",Deaths in 2023 (thousands),"% change, deaths, 1990 to 2023",Age-standardised death rate in 2023,"% change, age-standardised death rate, 1990 to 2023",location_name_medium.x
1,"887
(682 to 1 170)","91.6
(42.5 to 159.4)","20.1
(15.4 to 26.6)","-0.4
(-26.6 to 34.7)","369
(292 to 475)","71.6
(32.8 to 136.3)","8.0
(6.3 to 10.4)","-17.5
(-36.2 to 13.4)",Global
44575,"123
(104 to 139)","-4.8
(-21.1 to 15.9)","12.6
(10.6 to 14.5)","-28.4
(-41.3 to -12.1)","41.2
(37.2 to 44.6)","-9.0
(-16.4 to -1.9)","3.3
(3.0 to 3.5)","-40.8
(-45.1 to -36.8)",World Bank High Income
44576,"282
(223 to 353)","72.8
(35.6 to 127.8)","15.4
(12.2 to 19.2)","-16.9
(-34.5 to 9.6)","114
(92.4 to 137)","44.8
(20.5 to 85.7)","5.9
(4.8 to 7.1)","-39.2
(-49.3 to -22.7)",World Bank Upper Middle Income
44577,"343
(227 to 511)","158.0
(51.3 to 348.5)","24.3
(16.1 to 36.0)","0.9
(-40.9 to 73.8)","156
(106 to 223)","114.5
(29.6 to 266.2)","11.8
(8.0 to 16.8)","-18.9
(-51.2 to 37.5)",World Bank Lower Middle Income
44578,"138
(92.4 to 199)","270.6
(142.7 to 544.8)","55.3
(37.3 to 79.7)","49.2
(-1.5 to 159.7)","57.1
(39.3 to 81.5)","218.5
(103.6 to 439.6)","25.5
(17.5 to 36.3)","29.3
(-16.8 to 118.3)",World Bank Low Income
31,"42.9
(37.4 to 49.6)","-1.0
(-17.1 to 19.4)","14.3
(12.4 to 16.7)","-14.2
(-29.3 to 4.8)","18.4
(17.0 to 19.9)","-20.8
(-26.5 to -14.0)","5.3
(4.9 to 5.7)","-36.8
(-41.4 to -31.2)","Central Europe, Eastern Europe, and Central Asia"
32,"6.66
(5.67 to 7.81)","31.0
(4.4 to 61.5)","12.6
(10.7 to 14.7)","-29.7
(-43.7 to -13.4)","3.04
(2.75 to 3.47)","13.0
(-1.5 to 30.0)","5.9
(5.3 to 6.7)","-40.4
(-48.0 to -31.6)",Central Asia
33,"0.171
(0.142 to 0.207)","-45.5
(-60.2 to -28.1)","7.7
(6.3 to 9.4)","-59.1
(-70.2 to -45.2)","0.0849
(0.0716 to 0.0980)","-44.6
(-56.2 to -31.4)","3.3
(2.8 to 3.8)","-65.4
(-72.5 to -56.5)",Armenia
34,"0.623
(0.399 to 0.967)","46.1
(-7.9 to 138.6)","9.6
(6.2 to 14.9)","-28.3
(-54.1 to 16.0)","0.296
(0.196 to 0.455)","34.3
(-11.0 to 107.4)","4.6
(3.1 to 7.2)","-35.8
(-56.7 to -1.8)",Azerbaijan
35,"0.328
(0.268 to 0.398)","-48.1
(-63.0 to -29.4)","11.9
(9.7 to 14.5)","-37.0
(-54.9 to -13.6)","0.189
(0.158 to 0.226)","-44.2
(-59.8 to -28.6)","5.9
(4.9 to 7.0)","-39.1
(-55.7 to -22.1)",Georgia
